Genuine Balloonicorn | 38 ref
Strange Frying Pan | 126.77 ref
Strange Gold Botkiller Knife Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Knife Mk.II | 32.85 ref
Strange Gold Botkiller Medi Gun Mk.I | 48.2933333333333 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.4433333333333 ref
Strange Gold Botkiller Minigun Mk.I | 37.8866666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 69.7366666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.22 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 45.8866666666667 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Wrench Mk.I | 64.33 ref
Strange Gold Botkiller Wrench Mk.II | 56.9966666666667 ref
Strange Gone Commando | 34.11 ref
Strange Australium Grenade Launcher | 310.166666666667 ref
Strange Ground Control | 36.22 ref
Strange Gunslinger | 325.98 ref
Halloween Spell: Bruised Purple Footprints | 72.44 ref
Halloween Spell: Spectral Flame | 36.22 ref
Halloween Spell: Squash Rockets | 36.22 ref
Halloween Spell: Violent Violet Footprints | 66.4033333333333 ref
Strange Heat of Winter | 107.623333333333 ref
Strange Heavy Lifter | 51.6266666666667 ref
Strange Heer's Helmet | 42.5533333333333 ref
Strange Holstered Heaters | 36.22 ref
Strange Holy Mackerel | 36.22 ref
Strange Huntsman | 72.4033333333333 ref
Strange Invis Watch | 36.8866666666667 ref
Strange Australium Knife | 355.793333333333 ref
Strange Kritzkrieg | 323.276666666667 ref
Strange Lady Killer | 35.11 ref
Strange Law | 42.8866666666667 ref
Genuine Little Bear | 217.32 ref
Strange Loose Cannon | 46.8866666666667 ref
Vintage Lugermorph | 106.586666666667 ref
Mann Co. Supply Crate Key | 18.11 ref
Strange Mann of the Seven Sees | 36.22 ref
Max's Severed Head | 434.603333333333 ref
Strange Australium Medi Gun | 458.786666666667 ref
Genuine Merc's Pride Scarf | 45.5533333333333 ref
Strange Australium Minigun | 380.31 ref
Strange Original | 81.1066666666667 ref
Genuine Point and Shoot | 30.74 ref
Strange Pyromancer's Hood | 30.1466666666667 ref
Pyrovision Goggles | 33.5166666666667 ref
Strange Righteous Bison | 53.2933333333333 ref
Strange Australium Rocket Launcher | 893.426666666667 ref
Strange Australium SMG | 160.916666666667 ref
Strange Sangu Sleeves | 36.22 ref
Strange Australium Scattergun | 607.296666666667 ref
Genuine Sharp Dresser | 54.33 ref
Genuine Shred Alert | 31.74 ref
Strange Snack Attack | 55.22 ref
Strange Australium Sniper Rifle | 594.593333333333 ref
Strange Snow Sleeves | 45.5533333333333 ref
Strange Sole Mate | 36.22 ref
Spine-Chilling Skull | 38.8866666666667 ref
Non-Craftable Spine-Chilling Skull 2011 | 34.1466666666667 ref
Strange Australium Stickybomb Launcher | 283.723333333333 ref
Strange Bacon Grease | 162.99 ref
Strange Part: Airborne Enemies Killed | 36.22 ref
Strange Part: Allied Healing Done | 36.22 ref
Strange Part: Critical Kills | 60.6633333333333 ref
Strange Part: Damage Dealt | 103.92 ref
Strange Part: Domination Kills | 54.33 ref
Strange Part: Kills with a Taunt Attack | 36.22 ref
Strange Part: Projectiles Reflected | 49.5533333333333 ref
Strange Part: Robots Destroyed | 54.33 ref
Summer Adventure Pack | 35.1833333333333 ref
Non-Craftable Summer Hat | 122.696666666667 ref
Taunt: Pool Party | 56.9166666666667 ref
Taunt: The Boston Breakdance | 32.4433333333333 ref
Strange Texas Ten Gallon | 36.22 ref
Strange Thermal Tracker | 36.3666666666667 ref
Strange Australium Tomislav | 162.953333333333 ref
Towering Pillar Of Summer Shades | 277.65 ref
Strange Ullapool Caber | 70.7 ref
Upgrade to Premium Gift | 39.8866666666667 ref
Non-Craftable Voodoo Juju | 54.33 ref
Strange Australium Wrench | 423.196666666667 ref
A Distinctive Lack of Hue | 40.22 ref
Strange AWPer Hand | 217.32 ref
Strange All-Father | 90.55 ref
Strange Australium Ambassador | 270.613333333333 ref
An Extraordinary Abundance of Tinge | 40.22 ref
Strange Antarctic Researcher | 54.33 ref
Genuine Archimedes | 41.5533333333333 ref
Strange Australium Axtinguisher | 141.77 ref
Genuine Balloonicorn | 35.4433333333333 ref
Bill's Hat | 37.44 ref
Strange Australium Black Box | 335.35 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.48 ref
Strange Blood Botkiller Minigun Mk.I | 32.1833333333333 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.33 ref
Strange Blood Botkiller Scattergun Mk.I | 44.22 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.5533333333333 ref
Strange Blood Botkiller Wrench Mk.I | 33.1466666666667 ref
Strange Australium Blutsauger | 181.1 ref
Strange Bonk Boy | 67.2166666666667 ref
Genuine Buck Turner All-Stars | 35.11 ref
Strange Combat Slacks | 52.2933333333333 ref
Strange Construction PDA | 133.103333333333 ref
Strange Cute Suit | 54.33 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 36.8866666666667 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.22 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.11 ref
Strange Diamond Botkiller Wrench Mk.I | 33.5166666666667 ref
Strange Disciplinary Action | 35.1466666666667 ref
Strange Dough Puncher | 46.22 ref
Earbuds | 54.33 ref
Strange Ein | 45.5533333333333 ref
Genuine El Jefe | 34.48 ref
Strange Australium Eyelander | 633.85 ref
Strange Festive Ambassador | 67.33 ref
Strange Festive Bat | 181.1 ref
Strange Festive Black Box | 38.8866666666667 ref
Strange Festive Buff Banner | 35.1833333333333 ref
Strange Festive Crusader's Crossbow | 57.6633333333333 ref
Strange Festive Eyelander | 35.85 ref
Strange Festive Flame Thrower | 105.956666666667 ref
Strange Festive Grenade Launcher | 69.4033333333333 ref
Strange Festive Holy Mackerel | 36.22 ref
Strange Festive Huntsman | 110.66 ref
Strange Festive Knife | 181.1 ref
Strange Festive Medi Gun | 440.676666666667 ref
Strange Festive Minigun | 174.99 ref
Strange Festive Rocket Launcher | 325.98 ref
Strange Festive Sandvich | 72.4033333333333 ref
Strange Festive Scattergun | 372.903333333333 ref
Strange Festive Shotgun | 55.96 ref
Strange Festive Sniper Rifle | 244.8 ref
Strange Festive Stickybomb Launcher | 139.473333333333 ref
Strange Festive Ubersaw | 55.9966666666667 ref
Strange Festive Wrench | 210.876666666667 ref
Fireproof Secret Diary | 247.503333333333 ref
Strange Australium Flame Thrower | 281.02 ref
Non-Craftable Flip-Flops | 60.3666666666667 ref
Strange Australium Force-A-Nature | 235.43 ref
Strange Australium Frontier Justice | 197.84 ref
Strange Frying Pan | 126.77 ref
Strange Gold Botkiller Knife Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Knife Mk.II | 32.85 ref
Strange Gold Botkiller Medi Gun Mk.I | 48.2933333333333 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.4433333333333 ref
Strange Gold Botkiller Minigun Mk.I | 37.8866666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 69.7366666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.22 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 45.8866666666667 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Wrench Mk.I | 64.33 ref
Strange Gold Botkiller Wrench Mk.II | 56.9966666666667 ref
Strange Gone Commando | 34.11 ref
Strange Australium Grenade Launcher | 310.166666666667 ref
Strange Ground Control | 36.22 ref
Strange Gunslinger | 325.98 ref
Halloween Spell: Bruised Purple Footprints | 72.44 ref
Halloween Spell: Spectral Flame | 36.22 ref
Halloween Spell: Squash Rockets | 36.22 ref
Halloween Spell: Violent Violet Footprints | 66.4033333333333 ref
Strange Heat of Winter | 107.623333333333 ref
Strange Heavy Lifter | 51.6266666666667 ref
Strange Heer's Helmet | 42.5533333333333 ref
Strange Holstered Heaters | 36.22 ref
Strange Holy Mackerel | 36.22 ref
Strange Huntsman | 72.4033333333333 ref
Strange Invis Watch | 36.8866666666667 ref
Strange Australium Knife | 355.793333333333 ref
Strange Kritzkrieg | 323.276666666667 ref
Strange Lady Killer | 35.11 ref
Strange Law | 42.8866666666667 ref
Genuine Little Bear | 217.32 ref
Strange Loose Cannon | 46.8866666666667 ref
Vintage Lugermorph | 106.586666666667 ref
Strange Machina | 217.32 ref
Mann Co. Supply Crate Key | 18.11 ref
Strange Mann of the Seven Sees | 36.22 ref
Max's Severed Head | 434.603333333333 ref
Strange Australium Medi Gun | 458.786666666667 ref
Genuine Merc's Pride Scarf | 45.5533333333333 ref
Strange Australium Minigun | 380.31 ref
Strange Original | 81.7733333333333 ref
Genuine Point and Shoot | 30.74 ref
Strange Pyromancer's Hood | 30.1466666666667 ref
Pyrovision Goggles | 33.5166666666667 ref
Strange Righteous Bison | 53.2933333333333 ref
Strange Australium Rocket Launcher | 893.426666666667 ref
Strange Australium SMG | 160.916666666667 ref
Strange Sangu Sleeves | 36.22 ref
Strange Australium Scattergun | 607.296666666667 ref
Genuine Sharp Dresser | 54.33 ref
Genuine Shred Alert | 31.74 ref
Strange Snack Attack | 55.22 ref
Strange Australium Sniper Rifle | 594.593333333333 ref
Strange Snow Sleeves | 45.5533333333333 ref
Strange Sole Mate | 36.22 ref
Spine-Chilling Skull | 38.8866666666667 ref
Non-Craftable Spine-Chilling Skull 2011 | 34.1466666666667 ref
Strange Australium Stickybomb Launcher | 283.723333333333 ref
Strange Bacon Grease | 162.99 ref
Strange Part: Airborne Enemies Killed | 36.22 ref
Strange Part: Allied Healing Done | 36.22 ref
Strange Part: Critical Kills | 60.6633333333333 ref
Strange Part: Damage Dealt | 103.92 ref
Strange Part: Domination Kills | 54.33 ref
Strange Part: Kills with a Taunt Attack | 36.22 ref
Strange Part: Projectiles Reflected | 49.5533333333333 ref
Strange Part: Robots Destroyed | 54.33 ref
Summer Adventure Pack | 35.1833333333333 ref
Non-Craftable Summer Hat | 122.696666666667 ref
Taunt: Pool Party | 56.9166666666667 ref
Taunt: The Boston Breakdance | 32.11 ref
Strange Texas Ten Gallon | 36.22 ref
Strange Thermal Tracker | 36.3666666666667 ref
Strange Australium Tomislav | 162.953333333333 ref
Towering Pillar Of Summer Shades | 277.65 ref
Strange Ullapool Caber | 70.7 ref
Upgrade to Premium Gift | 39.8866666666667 ref
Non-Craftable Voodoo Juju | 54.33 ref
Strange Australium Wrench | 423.196666666667 ref
A Distinctive Lack of Hue | 40.22 ref
Strange AWPer Hand | 217.32 ref
Strange All-Father | 90.55 ref
Strange Australium Ambassador | 270.613333333333 ref
An Extraordinary Abundance of Tinge | 40.22 ref
Strange Antarctic Researcher | 54.33 ref
Genuine Archimedes | 41.5533333333333 ref
Strange Australium Axtinguisher | 141.77 ref
Genuine Balloonicorn | 35.4433333333333 ref
Bill's Hat | 37.44 ref
Strange Australium Black Box | 335.35 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.48 ref
Strange Blood Botkiller Minigun Mk.I | 32.1833333333333 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.33 ref
Strange Blood Botkiller Scattergun Mk.I | 44.22 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.5533333333333 ref
Strange Blood Botkiller Wrench Mk.I | 33.1466666666667 ref
Strange Australium Blutsauger | 181.1 ref
Strange Bonk Boy | 67.2166666666667 ref
Genuine Buck Turner All-Stars | 35.11 ref
Strange Combat Slacks | 52.2933333333333 ref
Strange Construction PDA | 133.103333333333 ref
Strange Cute Suit | 60.3666666666667 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 36.8866666666667 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.22 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.11 ref
Strange Diamond Botkiller Wrench Mk.I | 33.5166666666667 ref
Strange Disciplinary Action | 35.1466666666667 ref
Strange Dough Puncher | 46.22 ref
Earbuds | 54.33 ref
Strange Ein | 45.5533333333333 ref
Genuine El Jefe | 34.48 ref
Strange Australium Eyelander | 633.85 ref
Strange Festive Ambassador | 67.33 ref
Strange Festive Bat | 181.1 ref
Strange Festive Black Box | 38.8866666666667 ref
Strange Festive Buff Banner | 35.1833333333333 ref
Strange Festive Crusader's Crossbow | 57.6633333333333 ref
Strange Festive Eyelander | 35.85 ref
Strange Festive Flame Thrower | 105.956666666667 ref
Strange Festive Grenade Launcher | 69.4033333333333 ref
Strange Festive Holy Mackerel | 36.22 ref
Strange Festive Huntsman | 110.66 ref
Strange Festive Knife | 181.1 ref
Strange Festive Medi Gun | 440.676666666667 ref
Strange Festive Minigun | 174.99 ref
Strange Festive Rocket Launcher | 325.98 ref
Strange Festive Sandvich | 72.4033333333333 ref
Strange Festive Scattergun | 372.903333333333 ref
Strange Festive Shotgun | 55.96 ref
Strange Festive Sniper Rifle | 244.8 ref
Strange Festive Stickybomb Launcher | 139.473333333333 ref
Strange Festive Ubersaw | 55.9966666666667 ref
Strange Festive Wrench | 210.876666666667 ref
Fireproof Secret Diary | 247.503333333333 ref
Strange Australium Flame Thrower | 281.02 ref
Non-Craftable Flip-Flops | 60.3666666666667 ref
Strange Australium Force-A-Nature | 235.43 ref
Strange Australium Frontier Justice | 197.84 ref
Strange Frying Pan | 126.77 ref
Strange Gold Botkiller Knife Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Knife Mk.II | 32.85 ref
Strange Gold Botkiller Medi Gun Mk.I | 48.2933333333333 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.4433333333333 ref
Strange Gold Botkiller Minigun Mk.I | 37.8866666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 69.7366666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.22 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 45.8866666666667 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Wrench Mk.I | 64.33 ref
Strange Gold Botkiller Wrench Mk.II | 56.9966666666667 ref
Strange Gone Commando | 34.11 ref
Strange Australium Grenade Launcher | 310.166666666667 ref
Strange Ground Control | 36.22 ref
Strange Gunslinger | 325.98 ref
Halloween Spell: Bruised Purple Footprints | 72.44 ref
Halloween Spell: Spectral Flame | 36.22 ref
Halloween Spell: Squash Rockets | 36.22 ref
Halloween Spell: Violent Violet Footprints | 66.4033333333333 ref
Strange Heat of Winter | 107.623333333333 ref
Strange Heavy Lifter | 51.6266666666667 ref
Strange Heer's Helmet | 42.5533333333333 ref
Strange Holstered Heaters | 36.22 ref
Strange Holy Mackerel | 36.8866666666667 ref
Strange Huntsman | 72.4033333333333 ref
Strange Invis Watch | 36.8866666666667 ref
Strange Australium Knife | 355.793333333333 ref
Strange Kritzkrieg | 323.276666666667 ref
Strange Lady Killer | 35.11 ref
Strange Law | 42.8866666666667 ref
Genuine Little Bear | 217.32 ref
Strange Loose Cannon | 46.8866666666667 ref
Vintage Lugermorph | 106.586666666667 ref
Strange Machina | 217.32 ref
Mann Co. Supply Crate Key | 18.11 ref
Strange Mann of the Seven Sees | 36.22 ref
Max's Severed Head | 434.603333333333 ref
Strange Australium Medi Gun | 458.786666666667 ref
Genuine Merc's Pride Scarf | 45.5533333333333 ref
Strange Australium Minigun | 380.31 ref
Strange Original | 81.7733333333333 ref
Genuine Point and Shoot | 30.74 ref
Strange Pyromancer's Hood | 30.1466666666667 ref
Pyrovision Goggles | 33.5166666666667 ref
Strange Righteous Bison | 53.2933333333333 ref
Strange Australium Rocket Launcher | 893.426666666667 ref
Strange Australium SMG | 160.916666666667 ref
Strange Sangu Sleeves | 36.22 ref
Strange Australium Scattergun | 607.296666666667 ref
Genuine Sharp Dresser | 54.33 ref
Genuine Shred Alert | 31.74 ref
Strange Snack Attack | 55.22 ref
Strange Australium Sniper Rifle | 594.593333333333 ref
Strange Snow Sleeves | 45.5533333333333 ref
Strange Sole Mate | 36.22 ref
Spine-Chilling Skull | 38.8866666666667 ref
Non-Craftable Spine-Chilling Skull 2011 | 34.1466666666667 ref
Strange Australium Stickybomb Launcher | 283.723333333333 ref
Strange Part: Airborne Enemies Killed | 36.22 ref
Strange Part: Allied Healing Done | 36.22 ref
Strange Part: Critical Kills | 60.6633333333333 ref
Strange Part: Damage Dealt | 103.92 ref
Strange Part: Domination Kills | 54.33 ref
Strange Part: Kills with a Taunt Attack | 36.22 ref
Strange Part: Projectiles Reflected | 49.5533333333333 ref
Strange Part: Robots Destroyed | 54.33 ref
Summer Adventure Pack | 35.1833333333333 ref
Non-Craftable Summer Hat | 122.696666666667 ref
Taunt: Pool Party | 56.9166666666667 ref
Taunt: The Boston Breakdance | 32.11 ref
Strange Texas Ten Gallon | 36.22 ref
Strange Thermal Tracker | 36.3666666666667 ref
Strange Australium Tomislav | 162.953333333333 ref
Towering Pillar Of Summer Shades | 277.65 ref
Strange Ullapool Caber | 70.7 ref
Upgrade to Premium Gift | 39.8866666666667 ref
Non-Craftable Voodoo Juju | 54.33 ref
Strange Australium Wrench | 423.196666666667 ref
A Distinctive Lack of Hue | 40.22 ref
Strange AWPer Hand | 217.32 ref
Strange All-Father | 90.55 ref
Strange Australium Ambassador | 270.613333333333 ref
An Extraordinary Abundance of Tinge | 40.22 ref
Strange Antarctic Researcher | 54.33 ref
Genuine Archimedes | 41.5533333333333 ref
Strange Australium Axtinguisher | 141.77 ref
Genuine Balloonicorn | 35.4433333333333 ref
Bill's Hat | 37.44 ref
Strange Australium Black Box | 335.35 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.48 ref
Strange Blood Botkiller Minigun Mk.I | 32.1833333333333 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.33 ref
Strange Blood Botkiller Scattergun Mk.I | 44.22 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.5533333333333 ref
Strange Blood Botkiller Wrench Mk.I | 33.1466666666667 ref
Strange Australium Blutsauger | 181.1 ref
Strange Bonk Boy | 67.2166666666667 ref
Genuine Buck Turner All-Stars | 35.11 ref
Strange Combat Slacks | 52.2933333333333 ref
Strange Construction PDA | 133.103333333333 ref
Strange Cute Suit | 60.3666666666667 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 36.8866666666667 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.22 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.11 ref
Strange Diamond Botkiller Wrench Mk.I | 33.5166666666667 ref
Strange Disciplinary Action | 35.1466666666667 ref
Strange Dough Puncher | 46.22 ref
Earbuds | 54.33 ref
Strange Ein | 45.5533333333333 ref
Genuine El Jefe | 34.48 ref
Strange Australium Eyelander | 633.85 ref
Strange Festive Ambassador | 67.33 ref
Strange Festive Bat | 181.1 ref
Strange Festive Black Box | 38.8866666666667 ref
Strange Festive Buff Banner | 35.1833333333333 ref
Strange Festive Crusader's Crossbow | 57.6633333333333 ref
Strange Festive Eyelander | 35.85 ref
Strange Festive Flame Thrower | 105.956666666667 ref
Strange Festive Grenade Launcher | 69.4033333333333 ref
Strange Festive Holy Mackerel | 36.22 ref
Strange Festive Huntsman | 110.66 ref
Strange Festive Knife | 181.1 ref
Strange Festive Medi Gun | 440.676666666667 ref
Strange Festive Minigun | 174.99 ref
Strange Festive Rocket Launcher | 325.98 ref
Strange Festive Sandvich | 72.4033333333333 ref
Strange Festive Scattergun | 372.903333333333 ref
Strange Festive Shotgun | 55.96 ref
Strange Festive Sniper Rifle | 244.8 ref
Strange Festive Stickybomb Launcher | 139.473333333333 ref
Strange Festive Ubersaw | 55.9966666666667 ref
Strange Festive Wrench | 210.876666666667 ref
Fireproof Secret Diary | 247.503333333333 ref
Strange Australium Flame Thrower | 281.02 ref
Non-Craftable Flip-Flops | 60.3666666666667 ref
Strange Australium Force-A-Nature | 235.43 ref
Strange Australium Frontier Justice | 197.84 ref
Strange Frying Pan | 126.77 ref
Strange Gold Botkiller Knife Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Knife Mk.II | 32.85 ref
Strange Gold Botkiller Medi Gun Mk.I | 48.2933333333333 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.4433333333333 ref
Strange Gold Botkiller Minigun Mk.I | 37.8866666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 69.7366666666667 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.22 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 45.8866666666667 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 38.8866666666667 ref
Strange Gold Botkiller Wrench Mk.I | 64.33 ref
Strange Gold Botkiller Wrench Mk.II | 56.9966666666667 ref
Strange Gone Commando | 34.11 ref
Strange Australium Grenade Launcher | 310.166666666667 ref
Strange Ground Control | 36.22 ref
Strange Gunslinger | 325.98 ref
Halloween Spell: Bruised Purple Footprints | 72.44 ref
Halloween Spell: Spectral Flame | 36.22 ref
Halloween Spell: Squash Rockets | 36.22 ref
Halloween Spell: Violent Violet Footprints | 66.4033333333333 ref
Strange Heat of Winter | 107.623333333333 ref
Strange Heavy Lifter | 51.6266666666667 ref
Strange Heer's Helmet | 42.5533333333333 ref
Strange Holstered Heaters | 36.22 ref
Strange Holy Mackerel | 36.8866666666667 ref
Strange Huntsman | 72.4033333333333 ref
Strange Invis Watch | 36.8866666666667 ref
Strange Australium Knife | 355.793333333333 ref
Strange Lady Killer | 35.11 ref
Strange Law | 42.8866666666667 ref
Genuine Little Bear | 217.32 ref
Strange Loose Cannon | 46.8866666666667 ref
Vintage Lugermorph | 106.586666666667 ref
Strange Machina | 217.32 ref
Mann Co. Supply Crate Key | 17.4433333333333 ref
Strange Mann of the Seven Sees | 34.8866666666666 ref
Max's Severed Head | 418.825555555555 ref
Strange Australium Medi Gun | 441.897777777777 ref
Genuine Merc's Pride Scarf | 44.2199999999999 ref
Strange Australium Minigun | 366.309999999999 ref
Strange Original | 79.1066666666665 ref
Genuine Point and Shoot | 30.2955555555555 ref
Strange Pyromancer's Hood | 29.2577777777777 ref
Pyrovision Goggles | 32.4055555555555 ref
Strange Righteous Bison | 51.5155555555555 ref
Strange Australium Rocket Launcher | 877.981111111109 ref
Strange Australium SMG | 155.361111111111 ref
Strange Sangu Sleeves | 34.9588888888888 ref
Strange Australium Scattergun | 585.296666666666 ref
Genuine Sharp Dresser | 52.3299999999999 ref
Genuine Shred Alert | 31.2955555555555 ref
Strange Snack Attack | 53.8866666666666 ref
Strange Australium Sniper Rifle | 572.815555555554 ref
Strange Snow Sleeves | 44.2199999999999 ref
Strange Sole Mate | 34.8866666666666 ref
Spine-Chilling Skull | 37.5533333333333 ref
Non-Craftable Spine-Chilling Skull 2011 | 33.2577777777777 ref
Strange Australium Stickybomb Launcher | 273.278888888888 ref
Strange Part: Airborne Enemies Killed | 34.8866666666666 ref
Strange Part: Allied Healing Done | 34.8866666666666 ref
Strange Part: Critical Kills | 58.6633333333332 ref
Strange Part: Damage Dealt | 100.364444444444 ref
Strange Part: Domination Kills | 52.3299999999999 ref
Strange Part: Kills with a Taunt Attack | 34.8866666666666 ref
Strange Part: Projectiles Reflected | 48.2199999999999 ref
Strange Part: Robots Destroyed | 52.3299999999999 ref
Summer Adventure Pack | 34.0722222222222 ref
Non-Craftable Summer Hat | 118.474444444444 ref
Taunt: Pool Party | 54.9166666666666 ref
Taunt: The Boston Breakdance | 31.7766666666666 ref
Strange Texas Ten Gallon | 34.8866666666666 ref
Strange Thermal Tracker | 35.4777777777777 ref
Strange Australium Tomislav | 157.175555555555 ref
Towering Pillar Of Summer Shades | 267.649999999999 ref
Strange Ullapool Caber | 68.4777777777777 ref
Upgrade to Premium Gift | 38.5533333333333 ref
Non-Craftable Voodoo Juju | 52.3299999999999 ref
Strange Australium Wrench | 407.863333333333 ref
A Distinctive Lack of Hue | 38.8866666666666 ref
Strange AWPer Hand | 209.32 ref
Strange All-Father | 87.2166666666665 ref
Strange Australium Ambassador | 260.835555555555 ref
An Extraordinary Abundance of Tinge | 38.8866666666666 ref
Strange Antarctic Researcher | 52.3299999999999 ref
Genuine Archimedes | 40.2199999999999 ref
Strange Australium Axtinguisher | 137.103333333333 ref
Genuine Balloonicorn | 34.7766666666666 ref
Bill's Hat | 36.1066666666666 ref
Strange Australium Black Box | 323.127777777777 ref
Strange Blood Botkiller Medi Gun Mk.I | 34.5911111111111 ref
Strange Blood Botkiller Minigun Mk.I | 31.0722222222222 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 52.3299999999999 ref
Strange Blood Botkiller Scattergun Mk.I | 42.8866666666666 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 48.2199999999999 ref
Strange Blood Botkiller Wrench Mk.I | 32.2577777777777 ref
Strange Australium Blutsauger | 180.247777777777 ref
Strange Bonk Boy | 65.2166666666666 ref
Genuine Buck Turner All-Stars | 34.4433333333333 ref
Strange Combat Slacks | 50.5155555555555 ref
Strange Construction PDA | 128.436666666666 ref
Strange Cute Suit | 58.1444444444443 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 35.5533333333333 ref
Strange Diamond Botkiller Scattergun Mk.I | 34.8866666666666 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 30.4433333333333 ref
Strange Diamond Botkiller Wrench Mk.I | 32.4055555555555 ref
Strange Disciplinary Action | 34.2577777777777 ref
Strange Dough Puncher | 44.8866666666666 ref
Earbuds | 52.3299999999999 ref
Strange Ein | 44.2199999999999 ref
Genuine El Jefe | 33.5911111111111 ref
Strange Australium Eyelander | 610.516666666666 ref
Strange Festive Ambassador | 65.3299999999999 ref
Strange Festive Bat | 174.433333333333 ref
Strange Festive Black Box | 37.5533333333333 ref
Strange Festive Buff Banner | 34.0722222222222 ref
Strange Festive Crusader's Crossbow | 55.6633333333332 ref
Strange Festive Eyelander | 34.0722222222222 ref
Strange Festive Flame Thrower | 102.178888888889 ref
Strange Festive Grenade Launcher | 66.9588888888888 ref
Strange Festive Holy Mackerel | 34.8866666666666 ref
Strange Festive Huntsman | 106.66 ref
Strange Festive Knife | 174.433333333333 ref
Strange Festive Medi Gun | 424.454444444444 ref
Strange Festive Minigun | 168.99 ref
Strange Festive Rocket Launcher | 313.979999999999 ref
Strange Festive Sandvich | 69.9588888888888 ref
Strange Festive Scattergun | 359.347777777777 ref
Strange Festive Shotgun | 54.1822222222221 ref
Strange Festive Sniper Rifle | 235.911111111111 ref
Strange Festive Stickybomb Launcher | 134.584444444444 ref
Strange Festive Ubersaw | 53.9966666666666 ref
Strange Festive Wrench | 203.543333333333 ref
Fireproof Secret Diary | 238.392222222222 ref
Strange Australium Flame Thrower | 264.983333333333 ref
Non-Craftable Flip-Flops | 58.1444444444443 ref
Strange Australium Force-A-Nature | 226.763333333333 ref
Strange Australium Frontier Justice | 190.728888888889 ref
Strange Frying Pan | 122.103333333333 ref
Strange Gold Botkiller Knife Mk.I | 37.5533333333333 ref
Strange Gold Botkiller Knife Mk.II | 32.4055555555555 ref
Strange Gold Botkiller Medi Gun Mk.I | 46.5155555555555 ref
Strange Gold Botkiller Medi Gun Mk.II | 33.7766666666666 ref
Strange Gold Botkiller Minigun Mk.I | 36.5533333333333 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 67.2922222222221 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 41.8866666666666 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 44.5533333333333 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 37.5533333333333 ref
Strange Gold Botkiller Wrench Mk.I | 62.3299999999999 ref
Strange Gold Botkiller Wrench Mk.II | 54.9966666666666 ref
Strange Gone Commando | 33.4433333333333 ref
Strange Australium Grenade Launcher | 307.35111111111 ref
Strange Ground Control | 34.8866666666666 ref
Strange Gunslinger | 313.979999999999 ref
